Graph,LibraryMode,Mode,Iteration,Time_ms,Reached
soc-LiveJournal1.mtx,LAGraph directed,directed,1,505.399,4847571
soc-LiveJournal1.mtx,LAGraph directed,directed,2,497.559,4847571
soc-LiveJournal1.mtx,LAGraph directed,directed,3,488.361,4847571
soc-LiveJournal1.mtx,LAGraph directed,directed,4,499.684,4847571
soc-LiveJournal1.mtx,LAGraph directed,directed,5,501.147,4847571
soc-LiveJournal1.mtx,LAGraph directed,directed,6,497.674,4847571
soc-LiveJournal1.mtx,LAGraph directed,directed,7,503.846,4847571
soc-LiveJournal1.mtx,LAGraph directed,directed,8,503.379,4847571
soc-LiveJournal1.mtx,LAGraph directed,directed,9,496.823,4847571
soc-LiveJournal1.mtx,LAGraph directed,directed,10,501.648,4847571
soc-LiveJournal1.mtx,LAGraph directed,directed,11,503.923,4847571
soc-LiveJournal1.mtx,LAGraph directed,directed,12,503.6,4847571
soc-LiveJournal1.mtx,LAGraph directed,directed,13,507.822,4847571
soc-LiveJournal1.mtx,LAGraph directed,directed,14,498.783,4847571
soc-LiveJournal1.mtx,LAGraph directed,directed,15,505.98,4847571
soc-LiveJournal1.mtx,LAGraph undirected,undirected,1,521.269,4847571
soc-LiveJournal1.mtx,LAGraph undirected,undirected,2,515.955,4847571
soc-LiveJournal1.mtx,LAGraph undirected,undirected,3,516.047,4847571
soc-LiveJournal1.mtx,LAGraph undirected,undirected,4,517.901,4847571
soc-LiveJournal1.mtx,LAGraph undirected,undirected,5,518.985,4847571
soc-LiveJournal1.mtx,LAGraph undirected,undirected,6,528.935,4847571
soc-LiveJournal1.mtx,LAGraph undirected,undirected,7,523.672,4847571
soc-LiveJournal1.mtx,LAGraph undirected,undirected,8,527.935,4847571
soc-LiveJournal1.mtx,LAGraph undirected,undirected,9,517.792,4847571
soc-LiveJournal1.mtx,LAGraph undirected,undirected,10,518.425,4847571
soc-LiveJournal1.mtx,LAGraph undirected,undirected,11,540.195,4847571
soc-LiveJournal1.mtx,LAGraph undirected,undirected,12,519.679,4847571
soc-LiveJournal1.mtx,LAGraph undirected,undirected,13,530.344,4847571
soc-LiveJournal1.mtx,LAGraph undirected,undirected,14,517.303,4847571
soc-LiveJournal1.mtx,LAGraph undirected,undirected,15,518.472,4847571
soc-LiveJournal1.mtx,SpLA GPU,undirected,1,853.757,-1
soc-LiveJournal1.mtx,SpLA GPU,undirected,2,139.383,-1
soc-LiveJournal1.mtx,SpLA GPU,undirected,3,140.971,-1
soc-LiveJournal1.mtx,SpLA GPU,undirected,4,137.603,-1
soc-LiveJournal1.mtx,SpLA GPU,undirected,5,140.689,-1
soc-LiveJournal1.mtx,SpLA GPU,undirected,6,140.271,-1
soc-LiveJournal1.mtx,SpLA GPU,undirected,7,139.625,-1
soc-LiveJournal1.mtx,SpLA GPU,undirected,8,139.827,-1
soc-LiveJournal1.mtx,SpLA GPU,undirected,9,140.993,-1
soc-LiveJournal1.mtx,SpLA GPU,undirected,10,144.621,-1
soc-LiveJournal1.mtx,SpLA GPU,undirected,11,142.504,-1
soc-LiveJournal1.mtx,SpLA GPU,undirected,12,141.182,-1
soc-LiveJournal1.mtx,SpLA GPU,undirected,13,139.942,-1
soc-LiveJournal1.mtx,SpLA GPU,undirected,14,139.706,-1
soc-LiveJournal1.mtx,SpLA GPU,undirected,15,138.837,-1
patents.mtx,LAGraph directed,directed,1,38.461,3774768
patents.mtx,LAGraph directed,directed,2,38.503,3774768
patents.mtx,LAGraph directed,directed,3,38.449,3774768
patents.mtx,LAGraph directed,directed,4,38.332,3774768
patents.mtx,LAGraph directed,directed,5,37.935,3774768
patents.mtx,LAGraph directed,directed,6,38.086,3774768
patents.mtx,LAGraph directed,directed,7,38.091,3774768
patents.mtx,LAGraph directed,directed,8,38.348,3774768
patents.mtx,LAGraph directed,directed,9,38.733,3774768
patents.mtx,LAGraph directed,directed,10,38.507,3774768
patents.mtx,LAGraph directed,directed,11,37.926,3774768
patents.mtx,LAGraph directed,directed,12,38.23,3774768
patents.mtx,LAGraph directed,directed,13,37.007,3774768
patents.mtx,LAGraph directed,directed,14,37.725,3774768
patents.mtx,LAGraph directed,directed,15,40.374,3774768
patents.mtx,LAGraph undirected,undirected,1,469.513,3774768
patents.mtx,LAGraph undirected,undirected,2,459.987,3774768
patents.mtx,LAGraph undirected,undirected,3,465.852,3774768
patents.mtx,LAGraph undirected,undirected,4,464.146,3774768
patents.mtx,LAGraph undirected,undirected,5,469.216,3774768
patents.mtx,LAGraph undirected,undirected,6,463.975,3774768
patents.mtx,LAGraph undirected,undirected,7,457.445,3774768
patents.mtx,LAGraph undirected,undirected,8,457.949,3774768
patents.mtx,LAGraph undirected,undirected,9,457.046,3774768
patents.mtx,LAGraph undirected,undirected,10,453.039,3774768
patents.mtx,LAGraph undirected,undirected,11,459.398,3774768
patents.mtx,LAGraph undirected,undirected,12,459.811,3774768
patents.mtx,LAGraph undirected,undirected,13,459.854,3774768
patents.mtx,LAGraph undirected,undirected,14,452.077,3774768
patents.mtx,LAGraph undirected,undirected,15,451.81,3774768
patents.mtx,SpLA GPU,undirected,1,192.553,-1
patents.mtx,SpLA GPU,undirected,2,87.469,-1
patents.mtx,SpLA GPU,undirected,3,87.968,-1
patents.mtx,SpLA GPU,undirected,4,88.974,-1
patents.mtx,SpLA GPU,undirected,5,88.058,-1
patents.mtx,SpLA GPU,undirected,6,87.273,-1
patents.mtx,SpLA GPU,undirected,7,87.514,-1
patents.mtx,SpLA GPU,undirected,8,87.232,-1
patents.mtx,SpLA GPU,undirected,9,87.226,-1
patents.mtx,SpLA GPU,undirected,10,87.928,-1
patents.mtx,SpLA GPU,undirected,11,87.885,-1
patents.mtx,SpLA GPU,undirected,12,87.467,-1
patents.mtx,SpLA GPU,undirected,13,87.438,-1
patents.mtx,SpLA GPU,undirected,14,87.517,-1
patents.mtx,SpLA GPU,undirected,15,91.42,-1
wiki-Talk.mtx,LAGraph directed,directed,1,186.301,2394385
wiki-Talk.mtx,LAGraph directed,directed,2,185.063,2394385
wiki-Talk.mtx,LAGraph directed,directed,3,189.834,2394385
wiki-Talk.mtx,LAGraph directed,directed,4,184.246,2394385
wiki-Talk.mtx,LAGraph directed,directed,5,189.142,2394385
wiki-Talk.mtx,LAGraph directed,directed,6,183.119,2394385
wiki-Talk.mtx,LAGraph directed,directed,7,183.891,2394385
wiki-Talk.mtx,LAGraph directed,directed,8,180.656,2394385
wiki-Talk.mtx,LAGraph directed,directed,9,181.507,2394385
wiki-Talk.mtx,LAGraph directed,directed,10,182.072,2394385
wiki-Talk.mtx,LAGraph directed,directed,11,183.596,2394385
wiki-Talk.mtx,LAGraph directed,directed,12,186.773,2394385
wiki-Talk.mtx,LAGraph directed,directed,13,183.241,2394385
wiki-Talk.mtx,LAGraph directed,directed,14,186.32,2394385
wiki-Talk.mtx,LAGraph directed,directed,15,186.227,2394385
wiki-Talk.mtx,LAGraph undirected,undirected,1,128.061,2394385
wiki-Talk.mtx,LAGraph undirected,undirected,2,131.13,2394385
wiki-Talk.mtx,LAGraph undirected,undirected,3,128.909,2394385
wiki-Talk.mtx,LAGraph undirected,undirected,4,127.945,2394385
wiki-Talk.mtx,LAGraph undirected,undirected,5,131.937,2394385
wiki-Talk.mtx,LAGraph undirected,undirected,6,135.367,2394385
wiki-Talk.mtx,LAGraph undirected,undirected,7,128.138,2394385
wiki-Talk.mtx,LAGraph undirected,undirected,8,131.152,2394385
wiki-Talk.mtx,LAGraph undirected,undirected,9,131.364,2394385
wiki-Talk.mtx,LAGraph undirected,undirected,10,129.648,2394385
wiki-Talk.mtx,LAGraph undirected,undirected,11,128.18,2394385
wiki-Talk.mtx,LAGraph undirected,undirected,12,128.684,2394385
wiki-Talk.mtx,LAGraph undirected,undirected,13,130.125,2394385
wiki-Talk.mtx,LAGraph undirected,undirected,14,126.605,2394385
wiki-Talk.mtx,LAGraph undirected,undirected,15,128.751,2394385
rgg_n_2_22_s0.mtx,LAGraph directed,directed,1,6649.8,4194304
rgg_n_2_22_s0.mtx,LAGraph directed,directed,2,6457.7,4194304
rgg_n_2_22_s0.mtx,LAGraph directed,directed,3,6797.6,4194304
rgg_n_2_22_s0.mtx,LAGraph directed,directed,4,6550.4,4194304
rgg_n_2_22_s0.mtx,LAGraph directed,directed,5,6549.6,4194304
rgg_n_2_22_s0.mtx,LAGraph undirected,undirected,1,6413.9,4194304
rgg_n_2_22_s0.mtx,LAGraph undirected,undirected,2,6728.9,4194304
rgg_n_2_22_s0.mtx,LAGraph undirected,undirected,3,6871.6,4194304
rgg_n_2_22_s0.mtx,LAGraph undirected,undirected,4,6967.2,4194304
rgg_n_2_22_s0.mtx,LAGraph undirected,undirected,5,6853.1,4194304
rgg_n_2_22_s0.mtx,SpLA GPU,undirected,1,5201.96,4194304
rgg_n_2_22_s0.mtx,SpLA GPU,undirected,2,4763.56,4194304
rgg_n_2_22_s0.mtx,SpLA GPU,undirected,3,4770.9,4194304
rgg_n_2_22_s0.mtx,SpLA GPU,undirected,4,4840.7,4194304
rgg_n_2_22_s0.mtx,SpLA GPU,undirected,5,4758.53,4194304
wiki-Talk.mtx,SpLA GPU,undirected,1,147.318,2394385
wiki-Talk.mtx,SpLA GPU,undirected,2,100.347,2394385
wiki-Talk.mtx,SpLA GPU,undirected,3,99.854,2394385
wiki-Talk.mtx,SpLA GPU,undirected,4,97.855,2394385
wiki-Talk.mtx,SpLA GPU,undirected,5,98.217,2394385
wiki-Talk.mtx,SpLA GPU,undirected,6,97.758,2394385
wiki-Talk.mtx,SpLA GPU,undirected,7,97.396,2394385
wiki-Talk.mtx,SpLA GPU,undirected,8,98.172,2394385
wiki-Talk.mtx,SpLA GPU,undirected,9,96.588,2394385
wiki-Talk.mtx,SpLA GPU,undirected,10,96.279,2394385
wiki-Talk.mtx,SpLA GPU,undirected,11,97.141,2394385
wiki-Talk.mtx,SpLA GPU,undirected,12,97.754,2394385
wiki-Talk.mtx,SpLA GPU,undirected,13,98.905,2394385
wiki-Talk.mtx,SpLA GPU,undirected,14,97.27,2394385
wiki-Talk.mtx,SpLA GPU,undirected,15,95.826,2394385
